search_instance_id,search_public_ipv4,search_private_ipv4,Name,DevopsHandle,DevopsHandle	,Environment,Project,Schedule,aws:autoscaling:groupName,aws:ec2:fleet-id,aws:ec2launchtemplate:id,aws:ec2launchtemplate:version,stage
i-0e42729770e2c7f9e,3.139.170.146,172.31.33.22,opl-dev,,,,,working-time-07To22MonToFri,,,,,started
i-065b6ec23cfaa01e7,,172.31.32.89,opl-dev-sp,,,,,,,,,,started
i-0ffafda24c11b3c61,52.14.21.148,172.31.35.241,khc-dev,hienvv,,dev,khc,working-time-07To22MonToFri,,,,,started
i-08a2b744a9718529a,3.142.125.0,172.31.0.164,fap-facepeer-dev,hoangld,,dev,fap,working-time-07To22MonToFri,,,,,started
i-09095e86ef7d83840,52.14.227.80,172.31.0.129,oai-onzalink-ai-dev,hoangld,,dev,oai,working-time-07To22MonToFri,,,,,started
i-0f64a5d8847d74bf7,18.117.211.112,172.31.0.194,sonarquebe-bitnami,,,,,,,,,,
i-048f655016f609eeb,,172.31.0.105,uretail-dev,luanvp,,,urt,,,,,,started
i-0319ed7cd3476dfb4,3.130.148.100,172.31.0.181,nals-jenkins-sv2022,Trungpt,,,nals-jenkins-2022,,,,,,started
i-077849e676675aeb0,18.221.224.150,172.31.0.134,cca-dev-Hetthang06-2023,hoangld,,dev,cca,working-time-07To22MonToFri,,,,,started
i-00fdb2be1fc945259,3.142.165.129,172.31.0.240,aoc-aldgram-online-certification,hienvv,,dev,aoc,working-time-07To22MonToFri,,,,,started
i-069c1ff549e6789f4,18.119.41.119,172.31.0.202,pgf-dev,luanvp,,,pgf,working-time-07To22MonToFri,,,,,started
i-0acfbfca8ca99fe45,3.130.189.185,172.31.0.237,srl-sezax-ruby-labo-dev,hoangld,,dev,srl,working-time-07To22MonToFri,,,,,started
i-0c346b826fe3a1fff,3.13.53.183,172.31.44.168,adc-dev,thanhhc,,,adc,working-time-07To22MonToFri,,,,,started
i-0d5d5525d62f00221,3.20.5.32,172.31.34.52,asi-dev,thanhhc,,,asi,,,,,,started
i-030eaff70cef08ecc,3.19.6.237,172.31.33.7,pgf-win-dev,luanvp,,,pgf,working-time-07To22MonToFri,,,,,started
i-0d2473d32cec15f0a,3.20.82.30,172.31.0.116,sco-dev,hoangld,,dev,sco,maintain,,,,,stopped
i-0d363681599765922,3.19.177.46,172.31.0.15,nals-vault,,,internal,,,,,,,started
i-0dbc39c66d2a77fa2,3.128.63.115,172.31.0.47,pca-dev,Trungpt,,dev,pca,,,,,,started
i-0f2b30ac7a8a968e5,3.22.87.48,172.31.0.141,ubnt-wireless-controllers,hienvv,,dev,,,,,,,started
i-02c4adb38df1b6c79,13.58.132.174,172.31.0.54,ymm-dev,hoangld,,dev,ymm,working-time-07To22MonToFri,,,,,started
i-0a8acf69edefc0432,3.142.66.199,172.31.43.86,abe-dev(kka),thanhhc,,,abe,,,,,,started
i-023299ea0ead1f072,3.19.160.40,172.31.0.207,utc-java-dev,Trungpt,,dev,utc,working-time-07To22MonToFri,,,,,started
i-0f577fe6adcd4d1f3,3.130.122.84,172.31.0.135,eln-portal,,hienvv,dev,eln,working-time-07To22MonToFri,,,,,started
i-03ea1fdb529fb92fb,3.22.214.214,172.31.0.191,ofb-qa,,,qa,ofb,,,,,,started
i-0eacd588398079e73,52.15.44.205,172.31.0.80,ssw-dev-1,Trungpt,,dev,ssw,,,,,,started
i-0f4f4e227c9665a2d,3.128.143.240,172.31.0.28,fnz-dev-new,Trungpt,,dev,fnz,,,,,,stopped
i-0d3875f549936827d,3.20.69.19,172.31.0.208,eln-accident-manager,,,dev,eln,working-time-07To22MonToFri,,,,,started
i-0d44d6cd9c29cec02,18.116.149.102,172.31.0.170,eln-saml-idp,hienvv,,dev,eln,working-time-07To22MonToFri,,,,,started
i-076ffbfb61d81c0af,3.131.21.228,172.31.0.51,asd-dev,luanvp,,,asd,working-time-07To22MonToFri,,,,,started
i-0fb83816f86eec66c,3.137.135.103,172.31.0.16,anp-dev,hoangld,,dev,anp,working-time-07To22MonToFri,,,,,started
i-0fa7439a029c0615c,18.224.118.212,172.31.0.242,mte4-dev,Trungpt,,dev,mte4,projectDone,,,,,started
i-093898be3b516f490,3.140.23.55,172.31.0.238,pjp-dev,hienvv,,dev,pjp,working-time-07To22MonToFri,,,,,started
i-08be9b81922083eb4,3.140.34.24,172.31.0.159,msr-dev,,,,, requestfromPLw24,,,,,started
i-0e9af16a82cb8c5ef,52.14.140.33,172.31.0.198,fap-chat03-dev,hoangld,,dev,fap,PMRequest247,,,,,started
i-0f5394d3438465b52,18.189.153.73,172.31.0.19,mud-dev,,,dev,,working-time-07To22MonToFri,,,,,started
i-0e5ca9440605f60d4,3.132.148.112,172.31.0.171,umt-dev,hoangld,,dev,umt,working-time-07To22MonToFri,,,,,started
i-0feb6bbbef89560e3,,,jenkins-slave,,,,jenkins,,php-Jenkin-Agent-Asg,fleet-ab377797-ec24-ce87-2eb2-09a021e365cf,lt-0f9747c5ff2846cd3,6,
i-0b4b7836719776920,,,jenkins-slave,,,,jenkins,,java-Jenkin-Agent-Asg,fleet-bf2ee8ac-0997-6bbe-a492-8ea2fd3d4004,lt-01e2e2d7b99999c69,1,
i-095c81ad7ff02fa11,,,jenkins-slave,,,,jenkins,,Jenkin-Agent-Asg,fleet-172c602e-2bbf-431c-0612-2e88d7ba5dba,lt-076551ea34ab12410,14,
i-0a9ec9e43c962616c,18.217.164.45,172.31.0.26,sjp-dev,Trungpt,,dev,sjp,working-time-07To22MonToFri,,,,,started
i-09e3a966cb3705e04,3.132.32.231,172.31.0.58,humanbrain-insurance-sys,,,,,,,,,,started
i-0d4cb1d104a7818cf,3.23.184.107,172.31.0.184,smt-dev2,hoangld,,dev,smt,working-time-07To22MonToFri,,,,,started
i-03fcac1ecf29881f8,3.18.33.104,172.31.0.218,msr-qa,,,,,requestfromPLw24,,,,,started
i-010389d2403320d99,18.188.239.28,172.31.0.55,nal-internal-hr,,,nal-internal,,,,,,,
i-0f6f0eb8edeaac0b7,3.136.58.25,172.31.0.74,tf7-fresher-training-dev,hienvv,,dev,tf7,,,,,,
i-096ee5241a638c857,3.21.195.67,172.31.0.77,dsd-dev,hienvv,,dev,dsd,End-of-August,,,,,started
i-04077c8799ceae8c4,,172.31.23.48,OpenVPN,,,,,,,,,,
i-095f4d147ceee3123,3.17.255.127,172.31.36.31,msg-dev,thanhhc,,,msg,working-time-07To22MonToFri,,,,,started
i-00921d982c512e970,18.189.100.79,172.31.40.223,rmp-dev,thanhhc,,,rmp,working-time-07To22MonToFri,,,,,started
i-04dbfb44dba8fcd13,3.130.34.243,172.31.35.56,mna-dev,thanhhc,,,mna,PM-request-247,,,,,started
i-000c464964d167a2d,3.134.171.164,172.31.33.160,rmt-dev,thanhhc,,,rmt,,,,,,started
i-0786e16f567353c22,3.14.224.195,172.31.47.245,lmk-dev,,,,lmk,working-time-07To22MonToFri,,,,,started
i-07e552bfce64fa9ef,13.59.124.200,172.31.78.204,nals-php7-testing,duytt,,,,working-time-07To22MonToFri,,,,,started
i-090f241614a23d4c1,3.13.173.10,172.31.44.227,asp-dev,thanhhc,,,asp,working-time-07To22MonToFri,,,,,started
i-0a7e6ef80b1a3e4f3,3.143.104.89,172.31.45.254,lsr-dev,thanhhc,,,lsr,,,,,,started
i-01519eb77de587872,3.18.169.76,172.31.0.126,ocm-ordering-construction-materials,,,dev,ocm,,,,,,started
i-03201932419c4e8db,18.223.104.171,172.31.0.14,jbd-dev,,,nal-internal,,working-time-07To22MonToFri,,,,,started
i-0ab0d687b887b0d1f,3.130.233.185,172.31.0.166,blr-booklet-renew-dev,hienvv,,dev,blr,working-time-07To22MonToFri,,,,,started
i-0503c8d5b92c8f466,3.133.197.29,172.31.0.40,dhp-digisen-dev,,,dev,,working-time-07To22MonToFri,,,,,started
i-0ef5c2c7427b86877,18.221.229.11,172.31.0.73,,,,,,,nexgen_testing_v2-asg-e9d06877-6f37-3096-a134-3cf03e4a1df7,fleet-35844a84-a1b7-e1be-8c9a-862886c3edca,lt-0aca641ad325e4a03,1,
i-0425939bbf67e9958,3.137.62.191,172.31.0.56,hwp-dev,hoangld,,dev,hwp,working-time-0700To2359MonToFri,,,,,
i-03d8d983de60572e6,3.22.249.241,172.31.0.133,,,,,,,nexgen_testing_v2-asg-e9d06877-6f37-3096-a134-3cf03e4a1df7,fleet-1dbf6ba4-d324-4414-a43a-a720f630a770,lt-0aca641ad325e4a03,1,
i-00cd2e98d38a88338,,,jenkins-slave,,,,jenkins,,php-Jenkin-Agent-Asg,fleet-95844086-23bf-6b34-0eb8-0c287e391336,lt-0f9747c5ff2846cd3,6,
i-06e07682d8d19eebb,,,jenkins-slave,,,,jenkins,,Jenkin-Agent-Asg,fleet-bd0ee80e-893d-e116-2e98-a680176d994c,lt-076551ea34ab12410,14,
i-0ab7a081754d77b5d,,,jenkins-slave,,,,jenkins,,php-Jenkin-Agent-Asg,fleet-a39ddf17-4c04-e4a7-0618-81002657107f,lt-0f9747c5ff2846cd3,6,
i-01db38f4ed2e6c676,,,jenkins-slave,,,,jenkins,,java-Jenkin-Agent-Asg,fleet-abb77d9d-c4a6-440d-a6b8-01a0b298a8ff,lt-01e2e2d7b99999c69,1,
i-0ffc280041fb0a0fd,,,jenkins-slave,,,,jenkins,,Jenkin-Agent-Asg,fleet-89bfddbd-4604-ecaf-0e30-a30819ec2c96,lt-076551ea34ab12410,14,
i-008029e157ced37aa,13.58.145.173,172.31.19.124,dta-bi-tool-dev,thanhhc,,,dta,,,,,,started
i-079317d4a1fcf4139,3.16.92.188,172.31.28.148,atm-dev,thanhhc,,,atm,working-time-07To22MonToFri,,,,,started
i-02e1eb7a5ab2f11cb,13.58.155.173,172.31.21.87,gms-dev,thanhhc,,,gms,working-time-07To22MonToFri,,,,,started
i-0ff7c6050366f744a,18.118.54.125,172.31.25.110,kiw-dev,thanhhc,,,kiw,working-time-07To22MonToFri,,,,,started
i-043f34b5fffb2d4dc,3.15.148.209,172.31.0.140,,,,,,,nexgen_testing_v2-asg-e9d06877-6f37-3096-a134-3cf03e4a1df7,fleet-1f1f43a6-79a6-4e94-2490-a5a85bf97da4,lt-0aca641ad325e4a03,1,
i-0d756be903d50b17a,,,jenkins-slave,,,,jenkins,,php-Jenkin-Agent-Asg,fleet-3f8c4804-a93f-4134-2418-2e800a3c37f6,lt-0f9747c5ff2846cd3,6,
i-0875ac76abb18c788,,172.31.47.35,digitaco-restore,,,,,,,,,,
